Date;Type;Code;Serie;Value
11/09/2016;nemo;FIBCI_DEUDABP;BPRIV;1039,2445
12/09/2016;nemo;FIBCI_DEUDABP;BPRIV;1037,7193
13/09/2016;nemo;FIBCI_DEUDABP;BPRIV;1037,8027
14/09/2016;nemo;FIBCI_DEUDABP;BPRIV;1037,7180
11/09/2016;nemo;FIBCI_DEUDABP;CLASI;1038,2816
12/09/2016;nemo;FIBCI_DEUDABP;CLASI;1036,7494
13/09/2016;nemo;FIBCI_DEUDABP;CLASI;1036,8243
14/09/2016;nemo;FIBCI_DEUDABP;CLASI;1036,7312
11/09/2016;nemo;FIBCI_DEUDABP;I;1050,1621
12/09/2016;nemo;FIBCI_DEUDABP;I;1048,6239
13/09/2016;nemo;FIBCI_DEUDABP;I;1048,7110
14/09/2016;nemo;FIBCI_DEUDABP;I;1048,6282
11/09/2016;nemo;CFIFALCTAC;UNICA;1015,6474
12/09/2016;nemo;CFIFALCTAC;UNICA;1006,7504
13/09/2016;nemo;CFIFALCTAC;UNICA;1006,5985
14/09/2016;nemo;CFIFALCTAC;UNICA;1008,2718
11/09/2016;nemo;FICCRFLATAMD;B;1060,6914
12/09/2016;nemo;FICCRFLATAMD;B;1065,5826
13/09/2016;nemo;FICCRFLATAMD;B;1060,9769
14/09/2016;nemo;FICCRFLATAMD;B;1061,2440
11/09/2016;nemo;FICCRFLATAMD;D;1046,3222
12/09/2016;nemo;FICCRFLATAMD;D;1051,1557
13/09/2016;nemo;FICCRFLATAMD;D;1046,6208
14/09/2016;nemo;FICCRFLATAMD;D;1046,8928
11/09/2016;nemo;FICCRFLATAMD;I;1048,0888
12/09/2016;nemo;FICCRFLATAMD;I;1052,9546
13/09/2016;nemo;FICCRFLATAMD;I;1048,4360
14/09/2016;nemo;FICCRFLATAMD;I;1048,7325
11/09/2016;nemo;CFICCMAC-I;B;1435,1343
12/09/2016;nemo;CFICCMAC-I;B;1435,3504
13/09/2016;nemo;CFICCMAC-I;B;1435,1096
14/09/2016;nemo;CFICCMAC-I;B;1434,9329
11/09/2016;nemo;CFICCMAC-I;I;1437,2424
12/09/2016;nemo;CFICCMAC-I;I;1437,4752
13/09/2016;nemo;CFICCMAC-I;I;1437,2504
14/09/2016;nemo;CFICCMAC-I;I;1437,0898
11/09/2016;nemo;CFIIMTDC-I;B;1058,6060
12/09/2016;nemo;CFIIMTDC-I;B;1058,6293
13/09/2016;nemo;CFIIMTDC-I;B;1058,8080
14/09/2016;nemo;CFIIMTDC-I;B;1058,6460
11/09/2016;nemo;CFIIMTDC-I;I;1061,0386
12/09/2016;nemo;CFIIMTDC-I;I;1061,0741
13/09/2016;nemo;CFIIMTDC-I;I;1061,2653
14/09/2016;nemo;CFIIMTDC-I;I;1061,1150
11/09/2016;nemo;CFIIMTDC-I;IM;1069,0860
12/09/2016;nemo;CFIIMTDC-I;IM;1069,1408
13/09/2016;nemo;CFIIMTDC-I;IM;1069,3525
14/09/2016;nemo;CFIIMTDC-I;IM;1069,2202
11/09/2016;nemo;PGSECII;UNICA;62,1948
12/09/2016;nemo;PGSECII;UNICA;62,1932
13/09/2016;nemo;PGSECII;UNICA;62,1917
14/09/2016;nemo;PGSECII;UNICA;62,1902
11/09/2016;nemo;IMT_RENTA_INMOB;UNICA;23727,6425
12/09/2016;nemo;IMT_RENTA_INMOB;UNICA;23727,6451
13/09/2016;nemo;IMT_RENTA_INMOB;UNICA;23727,6477
14/09/2016;nemo;IMT_RENTA_INMOB;UNICA;23727,6504
11/09/2016;nemo;IMTPrivDebtI_ICG;UNICA;111,0839
12/09/2016;nemo;IMTPrivDebtI_ICG;UNICA;111,0832
13/09/2016;nemo;IMTPrivDebtI_ICG;UNICA;111,0826
14/09/2016;nemo;IMTPrivDebtI_ICG;UNICA;111,0819
11/09/2016;nemo;FIPPRFLUF;UNICA;221332,3610
12/09/2016;nemo;FIPPRFLUF;UNICA;220565,7134
13/09/2016;nemo;FIPPRFLUF;UNICA;220313,6678
14/09/2016;nemo;FIPPRFLUF;UNICA;219573,1349
11/09/2016;nemo;FIRFN;UNICA;107708,5349
12/09/2016;nemo;FIRFN;UNICA;107805,6987
13/09/2016;nemo;FIRFN;UNICA;107756,5703
14/09/2016;nemo;FIRFN;UNICA;107767,9968
11/09/2016;nemo;PGDIRECTII;I;152,5077
12/09/2016;nemo;PGDIRECTII;I;152,5074
13/09/2016;nemo;PGDIRECTII;I;152,5071
14/09/2016;nemo;PGDIRECTII;I;152,5068
11/09/2016;nemo;PGDIRECTII;X;0,0000
12/09/2016;nemo;PGDIRECTII;X;0,0000
13/09/2016;nemo;PGDIRECTII;X;0,0000
14/09/2016;nemo;PGDIRECTII;X;0,0000
11/09/2016;nemo;CFIIMTPA-E;A;26515,7168
12/09/2016;nemo;CFIIMTPA-E;A;26515,7168
13/09/2016;nemo;CFIIMTPA-E;A;26515,7168
14/09/2016;nemo;CFIIMTPA-E;A;26515,7168
11/09/2016;nemo;CFIIMTPA-E;B;34622,0979
12/09/2016;nemo;CFIIMTPA-E;B;34622,0979
13/09/2016;nemo;CFIIMTPA-E;B;34622,0979
14/09/2016;nemo;CFIIMTPA-E;B;34622,0979
11/09/2016;nemo;PENTAFIPDLA;A;1023,5999
12/09/2016;nemo;PENTAFIPDLA;A;1023,7204
13/09/2016;nemo;PENTAFIPDLA;A;1022,6355
14/09/2016;nemo;PENTAFIPDLA;A;1019,9600
11/09/2016;nemo;PENTAFIPDLA;I;924,8517
12/09/2016;nemo;PENTAFIPDLA;I;924,9654
13/09/2016;nemo;PENTAFIPDLA;I;923,9899
14/09/2016;nemo;PENTAFIPDLA;I;921,5773
11/09/2016;nemo;CFIBCHDEGB;UNICA;1013,5836
12/09/2016;nemo;CFIBCHDEGB;UNICA;1015,9711
13/09/2016;nemo;CFIBCHDEGB;UNICA;1013,5902
14/09/2016;nemo;CFIBCHDEGB;UNICA;1014,7136
